Date Time, Deer Creek Penstock #1 Flow, Deer Creek Penstock #2 Flow, Deer Creek Spillway Flow, Deer Creek Salt Lake Aqueduct Flow, Deer Creek Power Diversion Flow, Provo River Bridal Veil Flow
2020-07-05 09:57:57, 255, 323, 0, -95, -483, 0
2020-07-05 09:27:53, 255, 324, 0, -95, -484, 0
2020-07-05 08:57:56, 256, 324, 0, -94, -486, 0
2020-07-05 08:27:59, 256, 308, 0, -81, -484, 0
2020-07-05 07:57:56, 255, 310, 0, -81, -485, 0
2020-07-05 07:27:58, 254, 310, 0, -81, -484, 0
2020-07-05 06:57:55, 251, 308, 0, -80, -479, 0
2020-07-05 06:27:57, 255, 294, 0, -74, -475, 0
2020-07-05 05:57:54, 254, 292, 0, -65, -481, 0
2020-07-05 05:27:57, 256, 294, 0, -65, -485, 0
2020-07-05 04:57:54, 256, 296, 0, -66, -487, 0
2020-07-05 04:27:56, 255, 291, 0, -65, -481, 0
2020-07-05 03:57:59, 257, 293, 0, -65, -485, 0
2020-07-05 03:27:55, 253, 295, 0, -65, -484, 0
2020-07-05 02:58:59, 253, 294, 0, -65, -482, 0
2020-07-05 02:27:55, 256, 292, 0, -66, -482, 0
2020-07-05 01:57:57, 254, 292, 0, -65, -480, 0
2020-07-05 01:27:54, 254, 294, 0, -65, -483, 0
2020-07-05 00:58:57, 254, 294, 0, -65, -484, 0
2020-07-05 00:27:53, 252, 292, 0, -65, -479, 0
2020-07-04 23:58:56, 258, 292, 0, -64, -486, 0
2020-07-04 23:28:59, 255, 294, 0, -65, -484, 0
2020-07-04 22:57:55, 255, 292, 0, -65, -481, 0
2020-07-04 22:27:57, 251, 293, 0, -65, -479, 0
2020-07-04 21:58:55, 252, 296, 0, -65, -483, 0
2020-07-04 21:27:57, 254, 294, 0, -65, -482, 0
2020-07-04 20:57:54, 256, 295, 0, -65, -486, 0
2020-07-04 20:27:57, 256, 294, 0, -65, -485, 0
2020-07-04 19:58:54, 258, 294, 0, -65, -486, 0
2020-07-04 19:28:57, 256, 295, 0, -65, -486, 0
2020-07-04 18:58:54, 253, 292, 0, -65, -479, 0
2020-07-04 18:28:56, 257, 294, 0, -65, -486, 0
2020-07-04 17:58:59, 252, 292, 0, -66, -478, 0
2020-07-04 17:28:56, 254, 293, 0, -65, -481, 0
2020-07-04 16:58:59, 254, 304, 0, -75, -483, 0
2020-07-04 16:27:55, 254, 304, 0, -76, -483, 0
2020-07-04 15:58:58, 255, 302, 0, -75, -482, 0
2020-07-04 15:27:54, 255, 307, 0, -75, -487, 0
2020-07-04 14:57:57, 256, 308, 0, -76, -488, 0
2020-07-04 14:28:54, 255, 308, 0, -75, -488, 0
2020-07-04 13:57:56, 254, 309, 0, -75, -488, 0
2020-07-04 13:27:59, 255, 308, 0, -75, -488, 0
2020-07-04 12:58:57, 254, 324, 0, -74, -503, 0
2020-07-04 12:27:53, 254, 322, 0, -89, -487, 0
2020-07-04 11:57:55, 256, 324, 0, -90, -489, 0
2020-07-04 11:27:58, 254, 322, 0, -88, -488, 0
2020-07-04 10:57:54, 254, 337, 0, -105, -486, 0
2020-07-04 10:28:58, 256, 338, 0, -106, -488, 0
2020-07-04 09:57:59, 256, 329, 0, -105, -479, 0
2020-07-04 09:27:56, 254, 326, 0, -106, -475, 0
